"chromosomeName"	"start"	"end"	"readsL"	"readsR"	"isNonBlind"	"leftFragEndValid"	"rightFragEndValid"
10	69958545	69958580	1309	1070	FALSE	FALSE	FALSE
10	69958585	69958605	1484	1033	FALSE	FALSE	FALSE
10	69958610	69958722	1423	617	FALSE	TRUE	FALSE
10	69958727	69958948	1069	795	FALSE	TRUE	TRUE
10	69958953	69959014	444	721	FALSE	TRUE	TRUE
10	69959019	69959093	408	636	FALSE	TRUE	TRUE
10	69959098	69959152	631	557	FALSE	TRUE	TRUE
10	69959157	69959495	572	582	FALSE	TRUE	TRUE
10	69959500	69959527	525	384	FALSE	TRUE	TRUE
10	69959532	69959676	0	457	FALSE	TRUE	TRUE
10	69959681	69960018	559	40	TRUE	FALSE	TRUE
10	69960023	69960329	214	73	TRUE	TRUE	FALSE
10	69960334	69960551	70	0	FALSE	FALSE	TRUE
10	69960556	69960732	92	74	FALSE	TRUE	TRUE
10	69960737	69960990	10	5	FALSE	TRUE	TRUE
10	69960995	69961116	4	3	TRUE	FALSE	FALSE
10	69961121	69961152	499	94	FALSE	TRUE	TRUE
10	69961157	69961195	12	150	FALSE	TRUE	TRUE
10	69961200	69961338	0	5	TRUE	TRUE	FALSE
10	69961343	69961682	65	5	TRUE	TRUE	TRUE
10	69961687	69961924	152	319	TRUE	TRUE	TRUE
10	69961929	69962248	7	2	TRUE	FALSE	TRUE
10	69962253	69963080	3	2	TRUE	TRUE	TRUE
10	69963085	69963205	2	7	FALSE	FALSE	TRUE
10	69963210	69963293	15	3	FALSE	FALSE	TRUE
10	69963298	69963299	24	72	FALSE	FALSE	FALSE
10	69963304	69963566	3	28	FALSE	TRUE	TRUE
10	69963571	69963657	300	63	FALSE	TRUE	TRUE
10	69963662	69964058	4	8	FALSE	TRUE	TRUE
10	69964063	69964293	3	7	TRUE	TRUE	FALSE
10	69964298	69964334	430	18	FALSE	TRUE	TRUE
10	69964339	69964342	3	3	FALSE	FALSE	FALSE
10	69964347	69964682	0	483	TRUE	FALSE	TRUE
10	69964687	69964966	3	16	FALSE	TRUE	TRUE
10	69964971	69965303	0	0	TRUE	TRUE	TRUE
10	69965308	69965874	1328	10	TRUE	FALSE	TRUE
10	69965879	69965898	12	12	TRUE	FALSE	FALSE
10	69965903	69966364	5	122	TRUE	TRUE	TRUE
10	69966369	69966749	14	516	FALSE	TRUE	TRUE
10	69966754	69966874	0	0	TRUE	FALSE	FALSE
10	69966879	69967516	17	0	FALSE	FALSE	TRUE
10	69967521	69967564	359	8	FALSE	TRUE	TRUE
10	69967569	69969026	395	44	TRUE	TRUE	TRUE
10	69969031	69969114	0	0	FALSE	TRUE	TRUE
10	69969119	69969350	0	0	FALSE	TRUE	TRUE
10	69969355	69969501	340	341	FALSE	TRUE	TRUE
10	69969506	69969605	18	415	TRUE	FALSE	FALSE
10	69969610	69969648	278	279	FALSE	TRUE	TRUE
10	69969653	69969989	0	0	FALSE	FALSE	TRUE
10	69969994	69970070	0	0	TRUE	FALSE	FALSE
10	69970075	69970148	31	94	TRUE	TRUE	TRUE
10	69970153	69970171	31	0	FALSE	FALSE	FALSE
10	69970176	69970495	0	36	FALSE	TRUE	TRUE
10	69970500	69970668	0	0	FALSE	TRUE	TRUE
10	69970673	69970728	0	0	FALSE	TRUE	TRUE
10	69970733	69970881	492	492	FALSE	TRUE	TRUE
10	69970886	69971087	37	44	FALSE	TRUE	TRUE
10	69971092	69972602	25	342	TRUE	TRUE	TRUE
10	69972607	69972909	362	366	FALSE	TRUE	TRUE
